REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE/_Missing,WHEAT/_Missing,JOWAR/_Missing,BAJRA/_Missing,BARLEY/_Missing,MAIZE/_Missing,RAGI/_Missing,OTHER_CEREALS/_Missing,GRAM/_Missing,TUR/_Missing,UDID/_Missing,MUNG/_Missing,MASOOR/_Missing,OTHER_PULSES/_Missing,LINSEED_JAWAS/_Missing,GROUNDNUTS/_Missing,SUNFLOWER/_Missing,SESAMUM/_Missing,SOYABEAN/_Missing,OTHER_OIL_SEEDS/_Missing,SUGARCANE/_Missing,COTTON/_Missing,TAG/_Missing,MESTA/_Missing,TOBACCO/_Missing,MEDICINAL/_Missing,OTHER_SPICES/_Missing
2010-11,Gadchiroli,508,Desaiganj (Vadasa),4052,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2010-11,Gadchiroli,508,Armori,4053,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2010-11,Gadchiroli,508,Kurkheda,4054,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2010-11,Gadchiroli,508,Korchi,4055,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2010-11,Gadchiroli,508,Dhanora,4056,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2010-11,Gadchiroli,508,Gadchiroli,4057,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2010-11,Gadchiroli,508,Chamorshi,4058,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2010-11,Gadchiroli,508,Mulchera,4059,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2010-11,Gadchiroli,508,Etapalli,4060,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2010-11,Gadchiroli,508,Bhamragad,4061,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2010-11,Gadchiroli,508,Aheri,4062,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2010-11,Gadchiroli,508,Sironcha,4063,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
