REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE,WHEAT,JOWAR,BAJRA,BARLEY,MAIZE,RAGI,OTHER_CEREALS,GRAM,TUR,UDID,MUNG,MASOOR,OTHER_PULSES,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM,SOYABEAN,OTHER_OIL_SEEDS,SUGARCANE,COTTON,TAG,MESTA,TOBACCO,MEDICINAL,OTHER_SPICES,TAG/_Missing
2010-11,Jalgaon,499,Chopda,3960,0,0,7886.7,0,0,749.13,0,0,0,1834,2191,3103.05,0,0,0,0,0,1971.2,3728.4,0,0,90277.44,0,0,0,0,0,
2010-11,Jalgaon,499,Yawal,3961,0,0,1496,70.98,0,0,0,0,0,1633.13,4062.6,1833.7,0,0,0,272.09,0,324.36,2652.75,0,0,64006.8,0,0,0,0,0,
2010-11,Jalgaon,499,Raver,3962,0,0,5215.32,323.9,0,54.75,0,0,0,1776.5,1355.36,1962.24,0,0,0,880.33,0,0,3390.8,0,0,105319.82,0,0,0,0,0,
2010-11,Jalgaon,499,Muktainagar,3963,0,0,1211.26,0,0,0,0,0,0,880.32,530.74,625.1,0,0,0,0,0,36.96,415.68,0,0,57287.27,0,0,0,0,0,
2010-11,Jalgaon,499,Bodvad,3964,0,0,296.01,72.38,0,0,0,0,0,965.29,769.34,456.74,0,0,0,86.85,0,935.82,3577.5,0,0,56777.76,0,0,0,0,0,
2010-11,Jalgaon,499,Bhusawal,3965,0,0,1527.04,76.97,0,382.2,0,0,0,1317.81,2060.4,1384.3,0,0,0,205.62,0,358.47,1413.45,0,0,49168.05,0,0,0,0,0,
2010-11,Jalgaon,499,Jalgaon,3966,0,0,11202.05,0,0,1475.65,0,0,0,1337.15,4138.54,1878,0,0,0,98.34,0,163.89,3485.13,0,0,8177.25,0,0,0,0,0,
2010-11,Jalgaon,499,Erandol,3967,0,0,2426.5,0,0,0,0,0,0,481.44,1365.38,976.1,0,0,0,0,0,36,1266.55,0,0,43550.81,0,0,0,0,0,
2010-11,Jalgaon,499,Dharangaon,3968,0,0,5721.8,0,0,0,0,0,0,384.51,756.48,1840.39,0,0,0,0,0,146.36,328,0,0,81886.68,,0,0,0,0,.
2010-11,Jalgaon,499,Amalner,3969,0,0,7886.7,4708.2,0,0,0,0,0,314.64,2544.74,1783.08,0,0,0,60.9,0,636,581.49,0,0,56777.56,0,0,0,0,0,
2010-11,Jalgaon,499,Parola,3970,0,0,3818.1,1865.76,0,488.75,0,0,0,1786.08,2142.66,2424.6,0,0,0,89.7,0,227.36,144.9,0,0,90277.44,0,0,0,0,0,
2010-11,Jalgaon,499,Bhadgaon,3971,0,0,6479.76,1201.53,0,3704.64,0,0,0,775.2,1093.82,1980,0,0,0,29.79,0,226,762,0,0,97370.64,0,0,0,0,0,
2010-11,Jalgaon,499,Chalisgaon,3972,0,0,6479.76,1201.53,0,2090.37,0,0,0,1468.21,1380.3,1060.94,0,0,0,113.1,0,274.18,266.63,0,0,177632.62,0,0,0,0,0,
2010-11,Jalgaon,499,Pachora,3973,0,2642.91,5399.02,0,0,1566.8,0,0,0,1049.58,2406.03,1372.28,0,0,0,70.8,0,166.53,1549.4,0,0,105600.72,0,0,0,0,0,
2010-11,Jalgaon,499,Jamner,3974,0,0,3204.54,0,0,1706.25,0,0,0,1173.51,2464,3581.92,0,0,0,0,0,0,886.6,0,0,232437.51,0,0,0,0,0,
