REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_ID,TALUKA_NAME,TALUKA_ID,RICE,WHEAT,JOWARR/_Missing,BAJRA/_Missing,BARLEY/_Missing,MAIZE/_Missing,RAGI/_Missing,OTHR_CEREALS/_Missing,GRAM,TUR,MUNG,UDID,MASOOR/_Missing,OTR_PULSES/_Missing,SUGARCANE/_Missing,OTHER_SPICES/_Missing,COTTON/_Missing,MESTA/_Missing,LINSEED_JAWAS/_Missing,GROUNDNUTS/_Missing,SUNFLOWER/_Missing,SESAMUM/_Missing,SOYABEAN/_Missing,OTR_OILSEEDS,TOBACCO/_Missing,MEDICINAL/_Missing,RICE/_Missing,UDID/_Missing,WHEAT/_Missing
2011-12,Amravati,503,Dharni,4001,2507,935,.,.,.,.,.,.,1478,3267,121,179,.,.,.,.,.,.,.,.,.,.,.,42289,.,.,,,
2011-12,Amravati,503,Chikhaldara,4002,2266,2521,.,.,.,.,.,.,424,3143,698,63,.,.,.,.,.,.,.,.,.,.,.,18198,.,.,,,
2011-12,Amravati,503,Anjangaon Surji,4003,,1627,.,.,.,.,.,.,7911,8480,2488,925,.,.,.,.,.,.,.,.,.,.,.,14478,.,.,.,,
2011-12,Amravati,503,Achalpur,4004,,3192,.,.,.,.,.,.,2793,7228,215,224,.,.,.,.,.,.,.,.,.,.,.,16047,.,.,.,,
2011-12,Amravati,503,Chandurbazar,4005,,1911,.,.,.,.,.,.,3892,11702,999,675,.,.,.,.,.,.,.,.,.,.,.,23001,.,.,.,,
2011-12,Amravati,503,Morshi,4006,,7714,.,.,.,.,.,.,4470,10956,12,22,.,.,.,.,.,.,.,.,.,.,.,21027,.,.,.,,
2011-12,Amravati,503,Warud,4007,,3424,.,.,.,.,.,.,1186,8984,27,,.,.,.,.,.,.,.,.,.,.,.,10146,.,.,.,.,
2011-12,Amravati,503,Teosa,4008,,7943,.,.,.,.,.,.,2546,2616,143,75,.,.,.,.,.,.,.,.,.,.,.,29809,.,.,.,,
2011-12,Amravati,503,Amravati,4009,,1304,.,.,.,.,.,.,2850,8541,1240,140,.,.,.,.,.,.,.,.,.,.,.,55515,.,.,.,,
2011-12,Amravati,503,Bhatkuli,4010,,,.,.,.,.,.,.,6265,9901,4183,,.,.,.,.,.,.,.,.,.,.,.,26853,.,.,.,.,.
2011-12,Amravati,503,Daryapur,4011,,257,.,.,.,.,.,.,26676,9941,14850,17,.,.,.,.,.,.,.,.,.,.,.,2613,.,.,.,,
2011-12,Amravati,503,Nandgaon-Khandeshwar,4012,,6556,.,.,.,.,.,.,1709,10564,1247,786,.,.,.,.,.,.,.,.,.,.,.,60505,.,.,.,,
2011-12,Amravati,503,Chandur Railway,4013,,2113,.,.,.,.,.,.,770,8369,157,23,.,.,.,.,.,.,.,.,.,.,.,26884,.,.,.,,
2011-12,Amravati,503,Dhamangaon Railway,4014,,6283,.,.,.,.,.,.,3300,7304,51,5,.,.,.,.,.,.,.,.,.,.,.,30493,.,.,.,,
