REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_ID,TALUKA_NAME,TALUKA_ID,RICE,WHEAT/_Missing,JOWARR/_Missing,BAJRA/_Missing,BARLEY/_Missing,MAIZE/_Missing,RAGI,OTHR_CEREALS,GRAM/_Missing,TUR/_Missing,MUNG/_Missing,UDID,MASOOR/_Missing,OTR_PULSES/_Missing,SUGARCANE/_Missing,OTHER_SPICES/_Missing,COTTON/_Missing,MESTA/_Missing,LINSEED_JAWAS/_Missing,GROUNDNUTS/_Missing,SUNFLOWER/_Missing,SESAMUM/_Missing,SOYABEAN/_Missing,OTR_OILSEEDS/_Missing,TOBACCO/_Missing,MEDICINAL/_Missing
2011-12,Thane,517,Talasari,4157,20400,.,.,.,.,.,0,0,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-12,Thane,517,Dahanu,4158,49800,.,.,.,.,.,500,300,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-12,Thane,517,Vikramgad,4159,18700,.,.,.,.,.,1000,600,.,.,.,400,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-12,Thane,517,Jawhar,4160,15000,.,.,.,.,.,2000,1900,.,.,.,500,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-12,Thane,517,Mokhada,4161,3400,.,.,.,.,.,2400,2100,.,.,.,700,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-12,Thane,517,Vada,4162,31000,.,.,.,.,.,900,0,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-12,Thane,517,Palghar,4163,39800,.,.,.,.,.,0,0,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-12,Thane,517,Palghar,4163,39800,.,.,.,.,.,0,0,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-12,Thane,517,Vasai,4164,29200,.,.,.,.,.,0,0,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-12,Thane,517,Thane,4165,1300,.,.,.,.,.,0,0,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-12,Thane,517,Bhiwandi,4166,45600,.,.,.,.,.,0,0,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-12,Thane,517,Shahapur,4167,33800,.,.,.,.,.,1100,300,.,.,.,200,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-12,Thane,517,Kalyan,4168,17700,.,.,.,.,.,0,0,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-12,Thane,517,Ulhasnagar,4169,0,.,.,.,.,.,0,0,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-12,Thane,517,Ambarnath,4170,15300,.,.,.,.,.,0,0,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-12,Thane,517,Murbad,4171,37000,.,.,.,.,.,900,200,.,.,.,300,.,.,.,.,.,.,.,.,.,.,.,.,.,.
